2025-10-24 12:21:53,796 | __main__             | INFO     | Logging initialized. Log file: logs\ship_performance_20251024_122153.log
2025-10-24 12:21:53,797 | __main__             | INFO     | Processing Main Engine Excel file: D:\Ozellar Project\Aepms-backend\iso-performance-backend\data\Engine_Performance_Data.xlsx
2025-10-24 12:21:53,798 | __main__             | INFO     | Configuration:
2025-10-24 12:21:53,798 | __main__             | INFO     |   Database: postgresql+psycopg2://Deepa:****@localhost:5432/Aepms_deepa_login
2025-10-24 12:21:53,798 | __main__             | INFO     |   Log Level: INFO
2025-10-24 12:21:53,799 | __main__             | INFO     |   Data Directory: data
2025-10-24 12:21:53,799 | __main__             | INFO     | Validating Main Engine Excel file...
2025-10-24 12:21:53,799 | __main__             | INFO     | Excel file validated: D:\Ozellar Project\Aepms-backend\iso-performance-backend\data\Engine_Performance_Data.xlsx (41,746 bytes)
2025-10-24 12:21:53,800 | __main__             | INFO     | Initializing database connection...
2025-10-24 12:21:53,918 | app.database         | INFO     | ✅ Database connection successful!
2025-10-24 12:21:53,918 | app.database         | INFO     | PostgreSQL version: PostgreSQL 16.10, compiled by Visual C++ build 1944, 64-bit
2025-10-24 12:21:53,918 | app.database         | INFO     | Database: Aepms_deepa_login
2025-10-24 12:21:53,918 | app.database         | INFO     | User: Deepa
2025-10-24 12:21:53,925 | app.database         | INFO     | ✅ All tables created successfully!
2025-10-24 12:21:53,961 | app.database         | INFO     | ✅ Migration applied: added column csr_power_kw to vessel_info
2025-10-24 12:21:53,962 | app.database         | INFO     | ✅ Migration applied: added comment for csr_power_kw
2025-10-24 12:21:53,963 | app.database         | INFO     | ✅ Migration applied: added column barred_speed_rpm_start to vessel_info
2025-10-24 12:21:53,964 | app.database         | INFO     | ✅ Migration applied: added comment for barred_speed_rpm_start
2025-10-24 12:21:53,964 | app.database         | INFO     | ✅ Migration applied: added column barred_speed_rpm_end to vessel_info
2025-10-24 12:21:53,965 | app.database         | INFO     | ✅ Migration applied: added comment for barred_speed_rpm_end
2025-10-24 12:21:54,002 | app.database         | INFO     | ✅ Migration applied: widened barometric_pressure_mmh2o to numeric(8,3)
2025-10-24 12:21:54,003 | app.database         | INFO     | ✅ Migration applied: added fo_consumption_mt_hr to monthly_report_header
2025-10-24 12:21:54,003 | app.database         | INFO     | ✅ Migration applied: added fuel_injection_pump_index_mm to monthly_report_header
2025-10-24 12:21:54,005 | app.database         | INFO     | ✅ Migration applied: added exh_temp_cylinder_outlet_ave_c to monthly_report_header
2025-10-24 12:21:54,007 | app.database         | INFO     | ✅ Migration applied: vessel_info.vessel_id set to NULLABLE
2025-10-24 12:21:54,008 | app.database         | INFO     | ✅ Migration applied: added permissions column to users
2025-10-24 12:21:54,010 | app.database         | INFO     | ✅ Migration applied: added password_hash column to users
2025-10-24 12:21:54,011 | app.database         | INFO     | ✅ Migration applied: added created_by column to users
2025-10-24 12:21:54,116 | app.database         | INFO     | 📊 Current table row counts:
2025-10-24 12:21:54,117 | app.database         | INFO     |   role_permissions: 4 rows
2025-10-24 12:21:54,117 | app.database         | INFO     |   vessel_info: 8 rows
2025-10-24 12:21:54,117 | app.database         | INFO     |   vessel_generator: 12 rows
2025-10-24 12:21:54,117 | app.database         | INFO     |   generator_baseline_data: 20 rows
2025-10-24 12:21:54,117 | app.database         | INFO     |   shop_trial_session: 8 rows
2025-10-24 12:21:54,118 | app.database         | INFO     |   monthly_report_header: 3 rows
2025-10-24 12:21:54,118 | app.database         | INFO     |   baseline_performance_data: 0 rows
2025-10-24 12:21:54,118 | app.database         | INFO     |   organizations: 2 rows
2025-10-24 12:21:54,118 | app.database         | INFO     |   users: 1 rows
2025-10-24 12:21:54,118 | app.database         | INFO     |   generator_monthly_report_header: 2 rows
2025-10-24 12:21:54,118 | app.database         | INFO     |   shop_trial_performance_data: 54 rows
2025-10-24 12:21:54,119 | app.database         | INFO     |   monthly_report_details_jsonb: 2 rows
2025-10-24 12:21:54,119 | app.database         | INFO     |   monthly_iso_performance_data: 3 rows
2025-10-24 12:21:54,119 | app.database         | INFO     |   generator_monthly_report_details_jsonb: 2 rows
2025-10-24 12:21:54,119 | app.database         | INFO     |   generator_performance_graph_data: 2 rows
2025-10-24 12:21:54,119 | __main__             | INFO     | Extracting Main Engine data from Excel file...
2025-10-24 12:21:54,320 | app.excel_loader     | INFO     | Loaded Excel file with 5 sheets: ['vessel_info', 'shop_trial_session', 'shop_trial_performance_data', 'monthly_report_header', 'monthly_report_details_jsonb']
2025-10-24 12:21:54,322 | app.excel_loader     | INFO     | Processing sheet: vessel_info
2025-10-24 12:21:54,327 | app.excel_loader     | INFO     | Processing sheet: shop_trial_session
2025-10-24 12:21:54,329 | app.excel_loader     | INFO     | Processing sheet: shop_trial_performance_data
2025-10-24 12:21:54,353 | app.excel_loader     | INFO     | Processing sheet: monthly_report_header
2025-10-24 12:21:54,356 | app.excel_loader     | INFO     | Processing sheet: monthly_report_details_jsonb
2025-10-24 12:21:54,357 | app.excel_loader     | INFO     | Extraction summary: {'vessels': 8, 'sessions': 8, 'performance_data': 54, 'crank_deflections': 0, 'bearing_temperatures': 0, 'monthly_headers': 0, 'monthly_details': 0}
2025-10-24 12:21:54,357 | __main__             | INFO     | Main Engine data extraction summary:
2025-10-24 12:21:54,358 | __main__             | INFO     |   vessels: 8 records
2025-10-24 12:21:54,358 | __main__             | INFO     |   sessions: 8 records
2025-10-24 12:21:54,358 | __main__             | INFO     |   performance_data: 54 records
2025-10-24 12:21:54,358 | __main__             | INFO     |   crank_deflections: 0 records
2025-10-24 12:21:54,359 | __main__             | INFO     |   bearing_temperatures: 0 records
2025-10-24 12:21:54,359 | __main__             | INFO     |   monthly_headers: 0 records
2025-10-24 12:21:54,359 | __main__             | INFO     |   monthly_details: 0 records
2025-10-24 12:21:54,359 | __main__             | INFO     | Loading Main Engine data into PostgreSQL database...
2025-10-24 12:21:54,360 | app.data_loader      | INFO     | Starting optimized data loading process...
2025-10-24 12:21:54,360 | app.data_loader      | INFO     | Pre-loading existing data for efficient processing...
2025-10-24 12:21:54,368 | app.data_loader      | INFO     | Pre-loaded: 8 vessels, 8 sessions, 3 monthly headers
2025-10-24 12:21:54,369 | app.data_loader      | INFO     | Loading 8 vessels...
2025-10-24 12:21:54,370 | app.data_loader      | INFO     | Vessel loading completed: 0 inserted, 8 updated
2025-10-24 12:21:54,370 | app.data_loader      | INFO     | Loading 8 sessions...
2025-10-24 12:21:54,376 | app.data_loader      | INFO     | Session loading completed: 0 inserted, 8 updated
2025-10-24 12:21:54,377 | app.data_loader      | INFO     | Loading 54 performance records...
2025-10-24 12:21:54,467 | app.data_loader      | INFO     | Performance data loading completed: 0 inserted, 54 updated
2025-10-24 12:21:54,467 | app.data_loader      | INFO     | Optimized data loading completed successfully
2025-10-24 12:21:54,470 | __main__             | INFO     | Data loading pipeline completed successfully! Processed 70 records
